thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
41623724,41623724,null,1,0,Thu Jan 12 21:59:00 EST 2017,7412026,"<p>How do you share devices with someone else on ARTIK Cloud. I am trying to do this through using the APIs. Thanks.</p>	"
41623724,41623793,41623724,2,0,Thu Jan 12 22:03:00 EST 2017,1087150,"<p>Take a look at our device sharing documentation. <a href="https://developer.artik.cloud/documentation/advanced-features/device-sharing.html" rel="nofollow noreferrer">https://developer.artik.cloud/documentation/advanced-features/device-sharing.html</a>	This also can be done using your my.artik.cloud account. 	You will need to:	 Create a device share:	   POST /devices//shares	In which you share the device with a someone.  - first you must obtain the device id and provide an email of the person you want to share the device with.</p>		<p>More details in our API reference documentation:	<a href="https://developer.artik.cloud/documentation/api-reference/rest-api.html#create-a-device-share" rel="nofollow noreferrer">https://developer.artik.cloud/documentation/api-reference/rest-api.html#create-a-device-share</a>.</p>	"
