thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
46585194,46585194,null,1,1,Thu Oct 05 12:04:00 EDT 2017,8706917,"<p>I am using IMPINJ reader and tags to carryout this experiment.I need to store the identified TAG details in to postgres through MQTT.</p>	"
46585194,80123592,46585194,3,2,Thu Oct 05 12:16:00 EDT 2017,2603735,"Welcome to SO, it would help people to answer if you could provide some more information and code snippets of what you have tried and specific hurdles you have come across"
