thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
39020870,39020870,null,1,0,Thu Aug 18 14:29:00 EDT 2016,6731066,"<p>How I can to delete endpoint profiles from Admin-UI? Because I have a lot of old endpoints which does not work and not valid list of endpoints a bit annoying</p>	"
39020870,39043670,39020870,2,0,Fri Aug 19 16:20:00 EDT 2016,6493427,"<p>This possibility will be added in new version 0.10.0.	Here link to the <a href="http://jira.kaaproject.org/browse/KAA-1030" rel="nofollow">ticket</a> in jira.	You can use code from develop branch if it’s ability critical for you. </p>	"
