thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
30483735,30483735,null,1,1,Wed May 27 13:20:00 EDT 2015,3497004,"<p>I have an Orion CB working on a virtual machine just fine.</p>		<p>Now i have a gateaway that communicates in mqtt. So i want to use IDAS as an iot Agent to make the link between my GW and Orion CB.</p>		<p>My question is how do i install IDAS? </p>		<p>I have this : <a href="https://github.com/telefonicaid/fiware-IoTAgent-Cplusplus/" rel="nofollow">https://github.com/telefonicaid/fiware-IoTAgent-Cplusplus/</a></p>		<p>It really is not clear at all what are the spteps to take in order to install and use it. Can any one explain?</p>		<p>Or is there any kind of Virtual machine with IDAS already installed on it, like for the orion CB? </p>		<p>Thanks</p>	"
30483735,51545024,30483735,3,0,Tue Aug 04 12:53:00 EDT 2015,3497004,"NOTHING ? After so many time no awnser...."
30483735,32271057,30483735,2,1,Fri Aug 28 12:25:00 EDT 2015,5108333,"<p>I think I ended up asking the same question <a href="https://stackoverflow.com/questions/31999266/rpms-for-idas-iotagents-ge-from-fiware">here</a>.	The easiest way to install IDAS on a CentOS machine is through its RPM's available in it's calogue page. 	As of now I'm having other issues with such installation, but maybe you won't have them.	I hope this helps even though it comes so late.</p>	"
