thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
46189648,46189648,null,1,-1,Wed Sep 13 05:40:00 EDT 2017,5595541,"<p>Finding for the tools which will support the device management in the IOT/M2M.	The tool capability expectation is to monitor and manage all device types including switches,routers(mainly MPLS 4G Router) and gateways in telecom, Smart Home hubs, sensors and appliances M2M devices, smart power and water metering devices, health care devices and more.</p>		<p>Kindly let me know any such tools available in the market.</p>	"
46189648,46213240,46189648,2,0,Thu Sep 14 07:40:00 EDT 2017,1870387,"<p>We (Cumulocity) offer an out-of-the-box device management.	Free trial account is here: <a href="http://www2.softwareag.com/corporate/products/internet_of_things/default.aspx" rel="nofollow noreferrer">http://www2.softwareag.com/corporate/products/internet_of_things/default.aspx</a></p>		<p>User guide is here: <a href="http://cumulocity.com/guides/users-guide/device-management/" rel="nofollow noreferrer">http://cumulocity.com/guides/users-guide/device-management/</a></p>	"
46189648,85338281,46213240,3,0,Thu Mar 08 06:12:00 EST 2018,5595541,"Thanks so much for the suggestion"
