thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
55920371,55920371,null,1,0,Tue Apr 30 11:52:00 EDT 2019,8701237,"<p>How does AWS IoT SDK for Things or for Mobile(Android/iOS) stores data to sync later when network is not present or device(Thing/Mobile) is not connected to internet.	Is there a Storage Manager and Sync Manager concept while communicating between AWS IoT SDK and Cloud, as it seems to be needed when device is not connected to internet? If there is, then what is the limit of such storage?</p>		<p>Have gone through the concept of Persistence Sessions.</p>	"
55920371,56675766,55920371,2,0,Wed Jun 19 21:00:00 EDT 2019,8104378,"<p>AWS IoT SDK for android stores messages to be published while the client is offline in an in-memory queue whose size is a configurable property. The total size of the queue is limited to the amount of memory allocated to the process : </p>		<p><a href="https://github.com/aws-amplify/aws-sdk-android/blob/master/aws-android-sdk-iot/src/main/java/com/amazonaws/mobileconnectors/iot/AWSIotMqttManager.java#L125" rel="nofollow noreferrer">https://github.com/aws-amplify/aws-sdk-android/blob/master/aws-android-sdk-iot/src/main/java/com/amazonaws/mobileconnectors/iot/AWSIotMqttManager.java#L125</a></p>	"
