thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
37692336,37692336,null,1,1,Wed Jun 08 02:35:00 EDT 2016,6398556,"<p>I'm installed <code>WSO2 DAS Server</code> on my LAN network, but I can't create new <code>Dashboard</code> because this error:</p>		<blockquote>	  <p>javax.net.ssl.SSLException: hostname in certificate didn't match: 	  &lt;192.168.3.27> != localhost</p>	</blockquote>		<p>in <a href="http://pastebin.com/4Z6YxgY2" rel="nofollow">log file here</a>.</p>		<p>Please help and thanks</p>	"
37692336,37693192,37692336,2,-1,Wed Jun 08 04:20:00 EDT 2016,1101345,"<p>Above error log happens due to certificate is for localhost not for the host (192.168.3.27). You can fix this by importing KeyStore file to the trustore by using following commands in the terminal.</p>		<pre><code>keytool -export -alias &lt;HostName&gt; -file mycert.crt -keystore myjks.jks -storepass &lt;pwd&gt;		keytool -import -alias &lt;HostName&gt; -file /usr/local/app/wso2/wso2das-3.0.0/repository/resources/security/mycert.crt -keystore cacerts -storepass changeit	</code></pre>		<p>Please refer following articles for more details [1]. On the other hand for a quick test you can access dashboard portal in http by using following URL </p>		<pre><code>http://localhost:9763/portal/	</code></pre>		<p>[1] <a href="https://medium.com/@dunithd/wso2-das-how-to-fix-javax-net-ssl-sslexception-160c13bc8fe7#.npua5d4nf" rel="nofollow">https://medium.com/@dunithd/wso2-das-how-to-fix-javax-net-ssl-sslexception-160c13bc8fe7#.npua5d4nf</a></p>	"
37692336,40547298,37692336,2,1,Fri Nov 11 11:42:00 EST 2016,5391505,"<p>It  happens due to certificate is for localhost not for the domain that we run. For that we need to generate new certificate with specific domain and configuration changes with correct .jks file and correct password. </p>		<p>It will resolve the certificate didn't match. We need to replace all the localhost in the portal folder. If  I have worked like these and fixed with gaudiness. For more refernce please visit 	<a href="http://www.vitharana.org/2012/12/how-to-add-new-keystore-to-carbon-4_3.html" rel="nofollow noreferrer">http://www.vitharana.org/2012/12/how-to-add-new-keystore-to-carbon-4_3.html</a></p>	"
