thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
37189683,37189683,null,1,0,Thu May 12 14:17:00 EDT 2016,6113491,"<p>Can I configure Azure IoT hub in such a way I can receive messages from TTN (The Things Network)?</p>	"
37189683,37190024,37189683,2,0,Thu May 12 14:31:00 EDT 2016,1963868,"<p>IoT Hub is the specific queue you may use for sending the messages into with some code (or receiving from), for example. If anything you want to send messages from supports code execution, then you would be able to send it to the IoT Hub.</p>		<p>If it does not support the code execution, but you may get the messages from that source, then i would offer you to create a "broker" that will get the messages and send them to the IoT Hub.</p>	"
37189683,37203236,37189683,2,0,Fri May 13 06:59:00 EDT 2016,4989676,"<p>Unfortunately, Azure IoTHub doesn't support translating messages from TTN to itself as message broker like @AlexBelotserkovskiy said.</p>		<p>However, you can try to create a program using Azure Services as continous running job for reading and sending messages from TTN to IoTHub, such as <a href="https://azure.microsoft.com/en-us/documentation/articles/web-sites-create-web-jobs/" rel="nofollow">Run Background tasks with WebJobs</a>.</p>	"
