thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
42758605,42758605,null,1,1,Mon Mar 13 07:44:00 EDT 2017,7701688,"<p>I am trying to wok with Azure IoT in Beagebone black in Debian linux.</p>		<p>While building the SDK it gives the error.	 I am following the same code in Git. I did not modify anything.</p>		<p>Please help me to solve this.	Please see the screenshot of the error	<a href="https://i.stack.imgur.com/vnmtz.png" rel="nofollow noreferrer">Screenshot</a></p>	"
42758605,72676334,42758605,3,0,Tue Mar 14 08:34:00 EDT 2017,6601582,"I build the SDK successfully on my Debian virtual machine. Make sure you have [installed these packages](https://github.com/Azure/azure-iot-gateway-sdk/blob/master/doc/devbox_setup.md#set-up-a-linux-development-environment)."
